Return_Window,Bartime,Group,Sharpe_Ratio,Max_Drawdown,Annualized_Return
Ret_90,1970-01-01 10:59:00,group_1,-0.3688179945714834,-0.2260655038950513,-0.04347322581637817
Ret_90,1970-01-01 10:59:00,group_2,-0.455995681996254,-0.23365353488582108,-0.054039171294509476
Ret_90,1970-01-01 10:59:00,group_3,-0.45589167139985665,-0.24969798395308473,-0.05582658963164398
Ret_90,1970-01-01 10:59:00,group_4,-0.35027881300310276,-0.2633026909221251,-0.04743811331662851
Ret_90,1970-01-01 10:59:00,group_HML,0.6788266211784462,-0.04260774553208602,0.023142278176416852
Ret_90,1970-01-01 11:29:00,group_0,-1.4165498189414403,-0.38504359407501265,-0.17221496232880362
Ret_90,1970-01-01 11:29:00,group_1,-1.1146017440923774,-0.3222482922573051,-0.12303708618539859
Ret_90,1970-01-01 11:29:00,group_2,-1.0626489679672957,-0.30941394632729136,-0.11683776736740756
Ret_90,1970-01-01 11:29:00,group_3,-1.1682057809489814,-0.3452325898913263,-0.13311546027122592
Ret_90,1970-01-01 11:29:00,group_4,-1.0885678777960455,-0.36409837830670266,-0.1374644317070332
Ret_90,1970-01-01 11:29:00,group_HML,1.142277886421227,-0.026319474595745462,0.034750530621770574
Ret_90,1970-01-01 13:29:00,group_0,-1.3369948784498902,-0.5431098775419695,-0.2563240561154107
Ret_90,1970-01-01 13:29:00,group_1,-0.22706419229137534,-0.29905773151349735,-0.03909788727870859
Ret_90,1970-01-01 13:29:00,group_2,0.054329265096864185,-0.26550251316928075,0.009487902349192957
Ret_90,1970-01-01 13:29:00,group_3,0.11116489101022028,-0.2982501228213942,0.020081833224748276
Ret_90,1970-01-01 13:29:00,group_4,-0.20315348213518405,-0.3384363810715556,-0.040347892813647854
Ret_90,1970-01-01 13:29:00,group_HML,3.93536547591951,-0.018980074812786407,0.21597616330176297
Ret_90,1970-01-01 13:59:00,group_0,-0.13923036882676829,-0.3128477809578587,-0.029190415013286463
Ret_90,1970-01-01 13:59:00,group_1,0.6509781418278017,-0.22018972947574034,0.12022566687168329
Ret_90,1970-01-01 13:59:00,group_2,0.8657813418436142,-0.1714828726206291,0.1632135830867982
Ret_90,1970-01-01 13:59:00,group_3,0.951264208528995,-0.20327922932384723,0.1888400213638648
Ret_90,1970-01-01 13:59:00,group_4,0.7650728006594809,-0.23150631730073123,0.16750469090502432
Ret_90,1970-01-01 13:59:00,group_HML,2.5908890772962074,-0.03674111514645284,0.19669510591831085
Ret_90,1970-01-01 14:29:00,group_0,0.2568179643146675,-0.29476369590786156,0.053619764586004974
Ret_90,1970-01-01 14:29:00,group_1,0.9621828978916278,-0.20516838628171807,0.17785985141990537
Ret_90,1970-01-01 14:29:00,group_2,1.0270159916010384,-0.1793043610088978,0.19289984978426075
Ret_90,1970-01-01 14:29:00,group_3,1.2130922554097798,-0.19201201042971694,0.24103960298817742
Ret_90,1970-01-01 14:29:00,group_4,1.0327888727317014,-0.24401935203677805,0.22262491348256339
Ret_90,1970-01-01 14:29:00,group_HML,2.0781298840515245,-0.03887702329800791,0.1690051488965587
Ret_120,1970-01-01 09:59:00,group_0,0.9805737005464085,-0.15642797749361004,0.14078538066259969
Ret_120,1970-01-01 09:59:00,group_1,0.8387896039574693,-0.14504496304042103,0.11061107710775123
Ret_120,1970-01-01 09:59:00,group_2,0.6564960975842092,-0.14808016501278531,0.08758953726275123
Ret_120,1970-01-01 09:59:00,group_3,0.7088686290108444,-0.14529886083599153,0.09676512957495072
Ret_120,1970-01-01 09:59:00,group_4,1.082436732550381,-0.1605159100907434,0.1639067678636364
Ret_120,1970-01-01 09:59:00,group_HML,0.5177078807133079,-0.033241111883354324,0.02312138720103665
Ret_120,1970-01-01 10:29:00,group_0,-0.17932119244364952,-0.18884146855668282,-0.025710186605677556
Ret_120,1970-01-01 10:29:00,group_1,-0.03572187818743377,-0.17229215475973136,-0.0047014111870386606
Ret_120,1970-01-01 10:29:00,group_2,-0.1344453765667822,-0.1668995633582655,-0.01784543160543851
Ret_120,1970-01-01 10:29:00,group_3,-0.055723288085042295,-0.1790603126402388,-0.007622342304804462
Ret_120,1970-01-01 10:29:00,group_4,0.1558697864479991,-0.17481584864782151,0.023734720380372065
Ret_120,1970-01-01 10:29:00,group_HML,1.2748484009680534,-0.034086159070665034,0.049444906986049635
Ret_120,1970-01-01 10:59:00,group_0,-0.47935620265986884,-0.27924110781721534,-0.06896519522746952
Ret_120,1970-01-01 10:59:00,group_1,-0.3388838508701812,-0.24025559073918457,-0.04501607370542697
Ret_120,1970-01-01 10:59:00,group_2,-0.398024635869772,-0.24491013031012343,-0.05279945134400156
Ret_120,1970-01-01 10:59:00,group_3,-0.47276836176927506,-0.2797896356519961,-0.06474967293696482
Ret_120,1970-01-01 10:59:00,group_4,-0.3110514030426607,-0.2794996573855595,-0.04757686505682672
Ret_120,1970-01-01 10:59:00,group_HML,0.5665548622841382,-0.04468775494519528,0.021388330170642914
Ret_120,1970-01-01 11:29:00,group_0,-1.5931542453477243,-0.702617838452285,-0.3356454922591317
